gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,AvgCharges,ChargeDifference,ServiceCoverageRatio,CustomerValue,ContractRisk,EarlyLifecycle,SupportGap,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,1,1.3218163049693654,1,1,1,1,1,0,0,0,0.9815557839637743,1.6599003993413788,1.0722553800934644,-0.36387027018860024,0.6666666666666666,1.6910519561476138,0,0,0,False,True,True,False,True,False,False
0,0,0,0,-0.26741022933725495,0,0,0,1,1,0,0,0,-0.9715455124063844,-0.5622521877037466,-0.7023456253565203,-0.8804813298032224,0.3333333333333333,-0.603550151456263,2,0,0,True,False,False,False,False,True,False
1,0,1,0,1.4440644999160286,1,0,1,1,1,0,0,0,0.8370661472425127,1.756103949661117,1.045030857674773,-0.7617265986060002,0.5,1.6857072323311966,0,0,0,False,True,True,False,True,False,False
0,0,0,0,-1.2046463905950056,1,0,1,0,0,0,1,0,0.6410916974366633,-0.9083256719398274,-0.018703845602257036,2.247376880563736,0.3333333333333333,-0.9011830843112417,2,1,1,False,False,True,False,False,True,False
1,0,1,0,0.6698259319204956,0,1,0,0,0,1,0,0,-0.8087870710422046,-0.10156067732153597,-0.5863566404359509,-0.7272010416147031,0.3333333333333333,-0.13622773611708675,2,0,0,True,False,False,False,False,False,False
1,1,1,0,1.2810669066538112,1,1,1,1,0,0,1,0,1.0629350046458643,1.814665498679414,1.2959019212486795,-0.8597350787255015,0.6666666666666666,1.7184354176761718,1,0,0,False,False,True,False,False,False,False
0,0,0,0,-1.041648797332788,1,0,0,1,1,1,0,0,-0.023228471396724102,-0.8156380119926696,-0.11748475780310533,0.3269491135836917,0.5,-0.8144357973484841,2,1,0,False,False,False,False,False,False,False
0,0,0,0,-0.43040782259947247,1,0,1,0,0,1,1,1,0.9367141725675209,-0.06352313835317878,1.1276669134901678,-0.7080493144158759,0.5,-0.11047188595649103,2,0,1,False,False,True,False,False,False,True
0,0,1,1,-0.06366323775948311,1,0,0,1,1,0,0,0,-0.35372775539133416,-0.2877929954941682,-0.2573732545844306,-0.31484272021015436,0.3333333333333333,-0.271275490161542,2,0,0,False,False,False,False,False,False,True
1,0,0,0,-1.0823981956483424,0,0,0,1,0,1,1,1,-0.5663102094180181,-0.8775396568649181,-0.5153255390627767,-0.14712462141663998,0.5,-0.885874739553108,2,1,1,True,False,False,False,False,True,False
0,0,0,1,-1.2861451872261143,1,0,0,0,0,0,0,1,-1.5212704521160125,-1.0031887890550197,-1.6274215585874983,0.44498792001934423,0.0,-1.0039865374714674,2,1,1,False,False,False,True,False,False,True
1,0,0,0,-1.0823981956483424,1,1,0,0,0,0,0,1,0.4667076531178991,-0.8206701300884257,0.08957242195655477,1.2794384729570956,0.16666666666666666,-0.8037903392120809,2,1,0,False,True,True,False,False,True,False
1,0,0,0,-0.8379018057550162,1,1,0,0,0,0,0,1,0.4916196594491511,-0.5716132458207426,0.5785753569168385,-0.3257712324596099,0.16666666666666666,-0.5911891029590344,2,0,0,False,True,True,False,False,True,False
1,0,1,0,1.158818711707148,1,0,0,1,1,1,1,1,1.3735046835754727,1.9554988824160988,1.6216807596934146,-0.9282477828986548,0.6666666666666666,1.8413200759573398,2,0,0,False,True,True,False,False,True,False
1,0,0,0,0.4253295420271693,1,0,0,0,0,0,0,1,-1.5063232483172613,-0.6691572293450275,-1.3620350084736443,-0.42131539427867737,0.0,-0.6407432706890276,0,0,1,False,False,False,True,False,False,False
1,1,0,0,-0.1044126360750375,0,0,0,1,0,1,0,1,-0.820412673996789,-0.4961314743844014,-0.7034344191229964,-0.36215400538573495,0.3333333333333333,-0.48059950893044784,2,0,1,True,False,False,False,False,True,False
0,0,0,0,-0.43040782259947247,1,0,1,0,1,0,0,1,-0.32715494863799877,-0.4872977998232925,-0.24418646074215336,-0.26994433536181106,0.3333333333333333,-0.4787079605838968,1,0,0,False,False,False,False,True,False,False
1,0,1,1,0.7920741268671586,1,0,0,0,0,0,0,0,-1.3933888196155855,-0.46002767512096376,-1.1666523424431616,-0.7120617745188095,0.0,-0.4851744165593153,0,0,1,False,True,False,True,False,False,True
