customerID,churn_probability,risk_segment
7216-EWTRS,0.90633154,high
5419-JPRRN,0.8937185,high
9497-QCMMS,0.89275396,high
9300-AGZNL,0.89275396,high
5178-LMXOP,0.8911983,high
4910-GMJOT,0.88395643,high
8149-RSOUN,0.88395643,high
0295-PPHDO,0.8822056,high
0107-YHINA,0.8790943,high
1069-XAIEM,0.878126,high
6857-VWJDT,0.8759684,high
5192-EBGOV,0.8707215,high
3068-OMWZA,0.86917716,high
3988-RQIXO,0.8689731,high
9248-OJYKK,0.8674911,high
4826-XTSOH,0.8673304,high
3178-FESZO,0.8659289,high
9282-IZGQK,0.86333245,high
8580-AECUZ,0.8624259,high
6567-HOOPW,0.8624259,high
8603-IJWDN,0.86171395,high
1415-YFWLT,0.8616359,high
6960-HVYXR,0.8606527,high
6861-XWTWQ,0.8597021,high
9885-CSMWE,0.85948974,high
9223-UCPVT,0.8592909,high
8775-LHDJH,0.8591953,high
2609-IAICY,0.858823,high
5797-APWZC,0.85866797,high
7294-TMAOP,0.85866797,high
6521-YYTYI,0.85811317,high
7120-RFMVS,0.8572465,high
9019-QVLZD,0.85598314,high
2777-PHDEI,0.85598314,high
3049-NDXFL,0.8559751,high
6894-LFHLY,0.85559136,high
8884-ADFVN,0.8547479,high
3158-MOERK,0.85418427,high
1285-OKIPP,0.85394704,high
5393-RXQSZ,0.85394704,high
4988-IQIGL,0.85348344,high
6230-BSUXY,0.8531161,high
4912-PIGUY,0.85305417,high
6372-RFVNS,0.8521937,high
3551-HUAZH,0.8515031,high
5240-IJOQT,0.8515031,high
9681-OXGVC,0.8513927,high
7274-RTAPZ,0.8512516,high
9124-LHCJQ,0.85048586,high
7024-OHCCK,0.8501576,high
2725-KXXWT,0.84919566,high
9057-SIHCH,0.8484904,high
3027-ZTDHO,0.8483786,high
8945-GRKHX,0.8478392,high
5960-WPXQM,0.8478047,high
1761-AEZZR,0.8478047,high
2514-GINMM,0.8478047,high
8740-CRYFY,0.8478047,high
8058-INTPH,0.8478047,high
6910-HADCM,0.8476974,high
6023-YEBUP,0.8476399,high
0723-DRCLG,0.8476168,high
4102-OQUPX,0.8476168,high
1833-VGRUM,0.84694064,high
8473-VUVJN,0.84694064,high
9300-RENDD,0.84658635,high
2868-MZAGQ,0.84654003,high
0495-RVCBF,0.84654003,high
0021-IKXGC,0.8455253,high
2636-ALXXZ,0.8448557,high
8375-DKEBR,0.8448557,high
4871-JTKJF,0.8448557,high
7206-GZCDC,0.8448557,high
8062-YBDOE,0.8448557,high
2867-UIMSS,0.8439824,high
5299-SJCZT,0.84369975,high
